"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-detail\user-detail.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-detail\user-detail.component.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 4, 27
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-enroll\user-enroll.component.html", "HTML", 0, 0, 0, 0, 73, 0, 2, 1, 76
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-enroll\user-enroll.component.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 5, 28
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-enroll\user-enroll.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-enroll\user-enroll.component.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 2, 8, 79
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-orders\user-orders.component.html", "HTML", 0, 0, 0, 0, 31, 0, 2, 2, 35
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-orders\user-orders.component.scss", "SCSS", 0, 0, 0, 0, 0, 30, 0, 6, 36
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-orders\user-orders.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-orders\user-orders.component.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 6, 49
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-review-order-dialog\user-review-order-dialog.component.html", "HTML", 0, 0, 0, 0, 49, 0, 4, 2, 55
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-review-order-dialog\user-review-order-dialog.component.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-review-order-dialog\user-review-order-dialog.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\user-review-order-dialog\user-review-order-dialog.component.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 1, 9, 61
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-account\worker-account.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-account\worker-account.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-account\worker-account.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-account\worker-account.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-detail\worker-detail.component.html", "HTML", 0, 0, 0, 0, 103, 0, 19, 6, 128
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-detail\worker-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 186, 21, 34, 241
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-detail\worker-detail.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-detail\worker-detail.component.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 3, 10, 70
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-list\worker-list.component.html", "HTML", 0, 0, 0, 0, 79, 0, 3, 2, 84
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-list\worker-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 120, 0, 17, 137
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-list\worker-list.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-list\worker-list.component.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 4, 14, 104
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-order\worker-order.component.html", "HTML", 0, 0, 0, 0, 21, 0, 2, 2, 25
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-order\worker-order.component.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 4, 26
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-order\worker-order.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\worker-order\worker-order.component.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 4, 24
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\global-constant.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 3, 4, 18
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\account.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\account.service.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 20, 101
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\services\household-chores.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
